	sulfur	carbon	oxygen	iron	nitrogen
GCF_000695835.1	0.16	0.06	0.0	0.02	0.24
GCF_000198775.1	0.16	0.04	0.29	0.3	0.61
GCF_000184745.1	0.16	0.08	0.43	0.38	0.73
GCF_000009165.1	0.16	0.04	0.34	0.69	0.69
GCF_000959505.1	0.16	0.04	0.31	0.45	0.73
GCF_000008465.1	0.17	0.02	0.24	0.49	0.4
GCF_000143885.2	0.17	0.03	0.43	0.2	0.66
GCF_001294575.1	0.17	0.04	0.32	0.61	0.71
GCF_000959245.1	0.17	0.05	0.3	0.57	0.75
GCF_001433715.1	0.17	0.02	0.41	0.63	0.55
GCF_000756715.1	0.17	0.29	0.2	0.34	0.37
GCF_000284035.1	0.17	0.03	0.31	0.21	0.7
GCF_000014505.1	0.17	0.0	0.07	0.25	0.06
GCF_000980815.1	0.17	0.01	0.3	0.3	0.39
GCF_000191145.1	0.17	0.04	0.24	0.22	0.61
GCF_000954115.1	0.17	0.02	0.44	0.21	0.71
GCF_000196235.1	0.17	0.0	0.31	0.21	0.66
GCF_001020985.1	0.17	0.0	0.28	0.32	0.43
GCF_000015565.1	0.17	0.06	0.36	0.32	0.68
GCF_000237205.1	0.17	0.35	0.12	0.09	0.2
GCF_000269985.1	0.17	0.03	0.29	0.16	0.7
GCF_000145705.1	0.17	0.02	0.0	0.15	0.16
GCF_000175215.2	0.17	0.03	0.37	0.56	0.67
GCF_000577895.1	0.17	0.08	0.45	0.09	0.39
GCF_000300235.2	0.17	0.03	0.38	0.61	0.72
GCF_000236705.1	0.18	0.12	0.23	0.39	0.3
GCF_000011545.1	0.18	0.04	0.4	0.56	0.74
GCF_001021025.1	0.18	0.0	0.37	0.33	0.41
GCF_000023785.1	0.18	0.03	0.37	0.45	0.67
GCF_000017005.1	0.18	0.13	0.0	0.06	0.1
GCF_000046845.1	0.18	0.04	0.29	0.19	0.58
GCF_000027165.1	0.18	0.0	0.03	0.05	0.07
GCF_001402915.1	0.18	0.04	0.3	0.48	0.67
GCF_000023345.1	0.18	0.17	0.43	0.38	0.76
GCF_001274895.1	0.18	0.02	0.36	0.31	0.41
GCF_001484705.1	0.18	0.02	0.33	0.26	0.7
GCF_000347635.1	0.18	0.03	0.44	0.7	0.57
GCF_000818095.1	0.18	0.02	0.39	0.33	0.55
GCF_000270165.1	0.18	0.0	0.15	0.08	0.14
GCF_000967915.1	0.18	0.01	0	0.08	0.14
GCF_000226315.1	0.18	0.0	0.1	0.36	0.4
GCF_000014385.1	0.19	0.02	0.08	0.04	0.09
GCF_001430825.1	0.19	0.01	0.39	0.42	0.47
GCF_000026405.1	0.19	0.0	0.09	0.05	0.1
GCF_000225325.1	0.19	0.0	0.05	0.0	0.05
GCF_000027185.1	0.19	0.0	0.12	0.08	0.13
GCF_000009225.2	0.19	0.04	0.34	0.52	0.74
GCF_000963865.1	0.19	0.01	0.28	0.36	0.44
GCF_000247565.1	0.19	0.11	0.18	0.09	0.11
GCF_000230955.2	0.19	0.07	0.34	0.25	0.54
GCF_000209655.1	0.19	0.04	0.32	0.34	0.67
GCF_000092885.1	0.19	0.19	0.55	0.33	0.82
GCF_001277995.1	0.19	0.01	0.42	0.23	0.41
GCF_000635915.2	0.19	0.01	0.07	0.39	0.46
GCF_001482385.1	0.19	0.01	0.39	0.43	0.49
GCF_000194605.1	0.19	0.01	0.2	0.42	0.43
GCF_000020765.1	0.19	0.0	0.01	0.02	0.04
GCF_000191545.1	0.19	0.01	0.1	0.37	0.09
GCF_000018185.1	0.19	0.0	0.07	0.08	0.09
GCF_000184065.1	0.19	0.01	0.32	0.41	0.46
GCF_000006885.1	0.19	0.03	0.05	0.06	0.1
GCF_000014425.1	0.19	0.01	0.08	0.32	0.05
GCF_000248095.2	0.2	0.02	0.11	0.37	0.08
GCF_001308145.2	0.2	0.0	0.08	0.11	0.07
GCF_000164885.1	0.2	0.03	0.37	0.24	0.5
GCF_001663835.1	0.2	0.0	0.06	0.25	0.08
GCF_001444405.1	0.2	0.01	0.39	0.4	0.44
GCF_001518795.1	0.2	0.0	0.05	0.27	0.08
GCF_000190595.1	0.2	0.01	0.33	0.41	0.51
GCF_000953655.1	0.2	0.01	0.22	0.51	0.53
GCF_001294645.1	0.2	0.04	0.43	0.27	0.72
GCF_000023825.1	0.2	0.03	0.39	0.51	0.57
GCF_000087965.2	0.2	0.03	0.27	0.44	0.61
GCF_000011305.1	0.2	0.0	0.4	0.23	0.45
GCF_000764535.1	0.2	0.03	0.26	0.55	0.67
GCF_001598035.1	0.2	0.0	0.01	0.32	0.03
GCF_000009805.1	0.2	0.03	0.31	0.19	0.68
GCF_000213805.1	0.2	0.03	0.27	0.73	0.68
GCF_000092225.1	0.2	0.03	0.38	0.2	0.66
GCF_000479315.1	0.2	0.07	0.02	0.0	0.08
GCF_000221045.1	0.2	0.04	0.44	0.37	0.73
GCF_001042405.1	0.2	0.01	0.07	0.11	0.07
GCF_000008925.1	0.2	0.01	0.12	0.05	0.12
GCF_000250635.1	0.21	0.17	0.21	0.53	0.31
GCF_001442805.1	0.21	0.03	0.33	0.44	0.73
GCF_000008065.1	0.21	0.01	0.08	0.37	0.07
GCF_001456155.1	0.21	0.0	0.11	0.31	0.44
GCF_001278075.1	0.21	0.02	0.33	0.19	0.69
GCF_000092285.1	0.21	0.03	0.36	0.56	0.69
GCF_000007145.1	0.21	0.04	0.34	0.54	0.69
GCF_000230555.1	0.21	0.02	0.34	0.38	0.63
GCF_000007465.2	0.21	0.0	0.1	0.07	0.15
GCF_000241055.1	0.21	0.0	0.08	0.02	0.09
GCF_000246835.1	0.21	0.01	0.09	0.07	0.14
GCF_000014765.1	0.21	0.05	0.33	0.75	0.65
GCF_000192865.1	0.21	0.03	0.23	0.36	0.53
GCF_000014225.1	0.21	0.03	0.42	0.73	0.56
GCF_000015345.1	0.21	0.0	0.0	0.1	0.09
GCF_000463465.1	0.21	0.17	0	0.09	0.07
GCF_000307165.1	0.21	0.02	0	0.06	0.13
GCF_000164675.2	0.22	0.08	0.03	0.08	0.06
GCF_000761135.1	0.22	0.01	0.05	0.29	0.07
GCF_000522545.2	0.22	0.18	0.42	0.45	0.77
GCF_000283515.1	0.22	0.02	0.34	0.7	0.72
GCF_001294625.1	0.22	0.0	0.45	0.26	0.57
GCF_000953135.1	0.22	0.01	0.16	0.62	0.5
GCF_001553685.1	0.22	0.16	0.02	0.02	0.1
GCF_000697965.2	0.22	0.05	0.33	0.79	0.77
GCF_001553915.1	0.22	0.01	0.02	0.0	0.12
GCF_000152925.2	0.22	0.19	0.31	0.32	0.33
GCF_000332115.1	0.22	0.22	0.22	0.31	0.29
GCF_000014445.1	0.22	0.01	0.16	0.12	0.14
GCF_000092505.1	0.22	0.0	0.1	0.05	0.1
GCF_000224085.1	0.23	0.02	0.22	0.5	0.43
GCF_000517605.1	0.23	0.08	0.59	0.6	0.8
GCF_000237995.1	0.23	0.02	0.12	0.03	0.11
GCF_001562215.1	0.23	0.02	0.32	0.93	0.64
GCF_001262075.1	0.23	0.05	0.22	0.48	0.48
GCF_001008165.2	0.23	0.02	0.36	0.59	0.66
GCF_000761215.1	0.23	0.02	0.35	0.26	0.7
GCF_000972745.1	0.23	0.04	0.33	0.54	0.69
GCF_000193595.2	0.24	0.04	0.29	0.33	0.7
GCF_000017285.1	0.24	0.03	0.3	0.21	0.58
GCF_001310255.1	0.24	0.03	0.4	0.54	0.58
GCF_000014405.1	0.24	0.01	0.09	0.37	0.07
GCF_001664085.1	0.24	0.08	0.61	0.36	0.79
GCF_001021935.1	0.24	0.04	0.33	0.43	0.68
GCF_000463505.1	0.24	0.11	0.05	0.13	0.09
GCF_001267925.1	0.24	0.05	0.38	0.65	0.71
GCF_000271325.1	0.24	0.02	0.43	0.33	0.47
GCF_000785535.1	0.25	0.0	0.36	0.24	0.52
GCF_000732905.1	0.25	0.01	0.08	0.29	0.06
GCF_000403645.1	0.25	0.1	0.26	0.25	0.54
GCF_000724605.1	0.25	0.02	0	0.07	0.17
GCF_000018785.1	0.25	0.25	0	0.11	0.08
GCF_000210915.2	0.26	0.09	0.19	0.59	0.43
GCF_000010225.1	0.26	0.0	0.38	0.23	0.48
GCF_000010705.1	0.26	0.0	0.01	0.06	0.05
GCF_000192635.1	0.26	0.03	0.33	0.36	0.71
GCF_000499645.1	0.26	0.05	0.59	0.73	0.8
GCF_000212355.1	0.26	0.12	0.31	0.32	0.35
GCF_000815185.1	0.26	0.04	0.35	0.29	0.67
GCF_000092025.1	0.26	0.03	0.35	0.75	0.71
GCF_000196315.1	0.26	0.27	0.16	0.43	0.26
GCF_000828715.1	0.26	0.02	0.35	0.31	0.37
GCF_000014205.1	0.26	0.04	0.0	0.04	0.12
GCF_000009145.1	0.27	0.02	0.27	0.71	0.62
GCF_001444425.1	0.27	0.02	0.38	0.41	0.49
GCF_000317305.3	0.27	0.02	0.44	0.21	0.73
GCF_000009545.1	0.27	0.11	0	0.0	0.06
GCF_000214215.1	0.27	0.03	0.41	0.18	0.56
GCF_000006785.2	0.27	0.01	0.03	0.02	0.03
GCF_001543105.1	0.27	0.0	0.04	0.0	0.03
GCF_000016285.1	0.27	0.03	0.37	0.35	0.71
GCF_000253155.1	0.28	0.0	0.05	0.07	0.1
GCF_000023925.1	0.28	0.12	0.18	0.23	0.39
GCF_000011985.1	0.28	0.02	0.16	0.09	0.07
GCF_000016265.1	0.28	0.06	0.37	0.47	0.72
GCF_000284415.1	0.28	0.12	0.54	0.51	0.62
GCF_000172635.2	0.28	0.05	0.36	0.41	0.5
GCF_000385925.1	0.28	0.14	0	0.02	0.1
GCF_000007385.1	0.28	0.04	0.3	0.45	0.64
GCF_000189535.1	0.28	0.03	0.31	0.22	0.59
GCF_000007165.1	0.29	0.04	0.36	0.54	0.68
GCF_000187935.1	0.29	0.08	0.01	0.1	0.09
GCF_000144605.1	0.29	0.1	0.56	0.45	0.66
GCF_000007265.1	0.29	0.0	0.04	0.1	0.06
GCF_001414055.1	0.29	0.03	0.46	0.55	0.69
GCF_000020265.1	0.3	0.05	0.61	0.4	0.82
GCF_000520875.1	0.3	0.04	0.58	0.59	0.81
GCF_000747315.1	0.3	0.14	0.42	0.28	0.39
GCF_000463395.1	0.3	0.13	0	0.02	0.06
GCF_001275345.1	0.3	0.0	0.32	0.19	0.5
GCF_000026085.1	0.3	0.02	0.32	0.55	0.48
GCF_000211375.1	0.3	0.11	0.03	0.23	0.09
GCF_000400635.2	0.31	0.03	0.33	0.26	0.72
GCF_000021345.1	0.31	0.05	0.6	0.74	0.83
GCF_000215105.1	0.31	0.02	0.3	0.24	0.61
GCF_001280205.1	0.31	0.0	0.28	0.24	0.48
GCF_000831645.3	0.31	0.04	0	0.0	0.11
GCF_000265385.1	0.31	0.13	0.22	0.37	0.3
GCF_000211855.2	0.32	0.03	0.24	0.3	0.33
GCF_001302565.1	0.32	0.02	0.34	0.26	0.56
GCF_000143705.1	0.32	0.18	0.31	0.56	0.36
GCF_000023465.1	0.32	0.04	0.4	0.5	0.45
GCF_000019905.1	0.33	0.1	0.24	0.42	0.34
GCF_000299435.1	0.33	0.1	0.24	0.34	0.34
GCF_000496635.1	0.33	0.1	0.24	0.33	0.34
GCF_000699505.1	0.33	0.01	0.32	0.29	0.33
GCF_000233915.3	0.33	0.02	0.3	0.9	0.65
GCF_000755585.2	0.33	0.0	0.33	0.22	0.55
GCF_000024925.1	0.34	0.02	0.35	0.24	0.55
GCF_000060345.1	0.34	0.03	0.39	0.48	0.44
GCF_001543265.1	0.34	0.03	0.36	0.61	0.65
GCF_000193205.1	0.34	0.07	0.01	0.24	0.1
GCF_001543175.1	0.34	0.07	0.01	0.24	0.1
GCF_001028625.1	0.34	0.01	0.27	0.41	0.58
GCF_000014465.1	0.34	0.03	0	0.44	0.08
GCF_001266755.1	0.34	0.03	0.35	0.23	0.5
GCF_000092785.1	0.34	0.32	0.11	0.38	0.34
GCF_000215645.1	0.35	0.16	0.32	0.59	0.37
GCF_000092825.1	0.35	0.02	0.46	0.21	0.53
GCF_000202635.1	0.35	0.02	0.37	0.23	0.53
GCF_000014925.1	0.36	0.01	0.33	0.25	0.59
GCF_001542565.1	0.36	0.01	0.33	0.24	0.59
GCF_001304795.1	0.36	0.08	0.6	0.59	0.69
GCF_000831485.1	0.36	0.15	0	0.08	0.06
GCF_000344785.1	0.36	0.01	0.41	0.23	0.38
GCF_001281315.1	0.37	0.0	0.39	0.25	0.58
GCF_001652465.1	0.37	0.08	0.25	0.24	0.44
GCF_001483965.1	0.37	0.19	0.06	0.4	0.09
GCF_000007665.1	0.38	0.26	0.21	0.38	0.33
GCF_000017565.1	0.38	0.02	0.38	0.54	0.65
GCF_000418365.1	0.39	0.01	0.35	0.21	0.42
GCF_000950575.1	0.39	0.0	0.39	0.22	0.5
GCF_000026685.1	0.39	0.01	0.31	0.29	0.34
GCF_001543285.1	0.39	0.03	0.04	0.02	0.11
GCF_000179395.2	0.39	0.0	0.3	0.22	0.5
GCF_000023145.1	0.4	0.11	0.27	0.28	0.36
GCF_000875675.1	0.4	0.04	0.28	0.22	0.33
GCF_000829395.1	0.41	0.09	0.04	0.02	0.13
GCF_001314225.1	0.42	0.08	0.36	0.23	0.53
GCF_000525655.1	0.42	0.01	0.34	0.32	0.43
GCF_000022025.1	0.43	0.01	0.33	0.23	0.59
GCF_000195575.1	0.44	0.16	0.0	0.1	0.07
GCF_000725365.1	0.44	0.01	0.26	0.19	0.34
GCF_000470775.1	0.44	0.28	0.22	0.38	0.34
GCF_000006605.1	0.44	0.01	0.35	0.22	0.37
GCF_001484605.1	0.44	0.02	0.34	0.24	0.56
GCF_000018885.1	0.45	0.09	0.36	0.24	0.45
GCF_000590555.1	0.46	0.32	0.25	0.24	0.32
GCF_000819445.1	0.47	0.18	0.29	0.31	0.38
GCF_000355695.1	0.48	0.21	0.29	0.22	0.43
GCF_000958465.1	0.48	0.18	0.21	0.22	0.4
GCF_000069225.1	0.48	0.17	0.21	0.24	0.4
GCF_001558975.1	0.48	0.22	0.31	0.24	0.38
GCF_000177535.2	0.48	0.09	0.39	0.25	0.4
GCF_001647635.1	0.51	0.12	0.23	0.25	0.37
GCF_000626675.1	0.51	0.01	0.33	0.21	0.46
GCF_000063485.1	0.54	0.08	0.27	0.22	0.43
GCF_000023205.1	0.55	0.01	0.34	0.24	0.45
