# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size250_cover10.faa.out.hmmsearch.tab
# list_file=Feli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in Feli.txt = 32

	PF00032	PF00033	PF00034	PF00115	PF00116	PF00355	PF00378	PF00465	PF00501	PF00510	PF00550	PF00668	PF01106	PF01154	PF01521	PF01592	PF01794	PF02167	PF02421	PF02535	PF03169	PF03264	PF07664	PF07670	PF08022	PF08030	PF08540	PF09699	PF10399	PF11854	PF13434	PF13523	PF14522
Acetobacter pasteurianus IFO 3283-01	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0
Deferribacter desulfuricans SSM1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Rothia mucilaginosa DY-18	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Lactobacillus rhamnosus GG	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
Bacteroides thetaiotaomicron VPI-5482	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Haloarcula marismortui ATCC 43049	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
Pyrococcus horikoshii OT3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0
Bacillus halodurans C-125	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0
Thermoplasma volcanium GSS1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Sulfolobus tokodaii str. 7	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mycoplasma penetrans HF-2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Oceanobacillus iheyensis HTE831	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0
Corynebacterium efficiens YS-314	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Thermosynechococcus elongatus BP-1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Bradyrhizobium diazoefficiens USDA 110	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1
Gloeobacter violaceus PCC 7421	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Mycoplasma mycoides subsp. mycoides SC str. PG1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Prochlorococcus marinus subsp. pastoris str. CCMP1986	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Prochlorococcus marinus str. MIT 9313	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Burkholderia pseudomallei K96243	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0
Methanococcus maripaludis S2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0
Pectobacterium atrosepticum SCRI1043	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	1
Gluconobacter oxydans 621H	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1
Helicobacter pylori 51	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Candidatus Blochmannia pennsylvanicus str. BPEN	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Haemophilus somnus 129PT	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1
Vibrio fischeri ES114	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1
Streptococcus thermophilus LMG 18311	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
Dehalococcoides mccartyi 195	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0
Anaplasma marginale str. St. Maries	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ruegeria pomeroyi DSS-3	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1
Lactobacillus acidophilus NCFM	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0
Borrelia turicatae 91E135	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0
Rickettsia felis URRWXCal2	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Haemophilus influenzae 86-028NP	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1
Pseudomonas savastanoi pv. phaseolicola 1448A	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0
Aster yellows witches'-broom phytoplasma AYWB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pseudomonas syringae pv. syringae B728a	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0
Pseudomonas protegens Pf-5	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	1
Sulfolobus acidocaldarius DSM 639	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Psychrobacter arcticus 273-4	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Colwellia psychrerythraea 34H	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1
Candidatus Pelagibacter ubique HTCC1062	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Burkholderia thailandensis E264	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0
Rickettsia bellii RML369-C	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Thermobifida fusca YX	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Dechloromonas aromatica RCB	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1
Pseudomonas fluorescens Pf0-1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0
Prochlorococcus marinus str. NATL2A	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Chlorobium luteolum DSM 273	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1
Synechococcus sp. CC9902	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Methanosphaera stadtmanae DSM 3091	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Ehrlichia canis str. Jake	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Chlorobium chlorochromatii CaD3	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Thiomicrospira crunogena XCL-2	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0
Synechococcus sp. CC9605	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Prochlorococcus marinus str. MIT 9312	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Desulfovibrio alaskensis G20	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1
Myxococcus xanthus DK 1622	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1
Nitrobacter winogradskyi Nb-255	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0
Thiobacillus denitrificans ATCC 25259	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0
Mycoplasma capricolum subsp. capricolum ATCC 27343	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Nitrosococcus oceani ATCC 19707	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1
Bacteroides vulgatus ATCC 8482	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
Parabacteroides distasonis ATCC 8503	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Carboxydothermus hydrogenoformans Z-2901	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1
Pelobacter carbinolicus DSM 2380	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1
Geobacter metallireducens GS-15	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	1	0	1
Burkholderia lata	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	1	0
Sulfurimonas denitrificans DSM 1251	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1
Hahella chejuensis KCTC 2396	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0
Erythrobacter litoralis HTCC2594	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0
Hyphomonas neptunium ATCC 15444	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0
Salinibacter ruber DSM 13855	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1
Rhodospirillum rubrum ATCC 11170	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1
Moorella thermoacetica ATCC 39073	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0
Anaplasma phagocytophilum str. HZ	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ehrlichia chaffeensis str. Arkansas	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Neorickettsia sennetsu str. Miyayama	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus sp. JA-3-3Ab	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Synechococcus sp. JA-2-3B'a(2-13)	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Helicobacter pylori HPAG1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Novosphingobium aromaticivorans DSM 12444	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	1
Frankia casuarinae	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Rhodopseudomonas palustris HaA2	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0
Anaeromyxobacter dehalogenans 2CP-C	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1
Syntrophus aciditrophicus SB	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	1
Methanospirillum hungatei JF-1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Jannaschia sp. CCS1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0
Rhodoferax ferrireducens T118	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1
Janthinobacterium sp. Marseille	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0
Paraburkholderia xenovorans LB400	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	1	0
Saccharophagus degradans 2-40	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0
Rhodopseudomonas palustris BisB5	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1
Methylobacillus flagellatus KT	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Methanococcoides burtonii DSM 6242	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1
Rhodopseudomonas palustris BisB18	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1
Shewanella denitrificans OS217	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0
Pseudomonas stutzeri A1501	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1
Polaromonas sp. JS666	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0
Nitrobacter hamburgensis X14	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1
Psychrobacter cryohalolentis K5	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Leptospira borgpetersenii serovar Hardjo-bovis str. L550	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1
Sphingopyxis alaskensis RB2256	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1
Candidatus Koribacter versatilis Ellin345	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1
Arcobacter butzleri RM4018	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1
Roseobacter denitrificans OCh 114	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1
Ruegeria sp. TM1040	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0
Burkholderia cenocepacia AU 1054	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0
Clostridium novyi NT	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Cytophaga hutchinsonii ATCC 33406	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	1	1	1
Mycobacterium sp. MCS	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Rubrobacter xylanophilus DSM 9941	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0
Streptococcus sanguinis SK36	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0
Pseudoalteromonas atlantica T6c	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1
Chelativorans sp. BNC1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0
Trichodesmium erythraeum IMS101	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Granulibacter bethesdensis CGDNIH1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1	0
Rickettsia canadensis str. McKiel	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Oenococcus oeni PSU-1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Lactobacillus gasseri ATCC 33323 = JCM 1131	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0
Lactobacillus brevis ATCC 367	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Pediococcus pentosaceus ATCC 25745	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0
Lactobacillus paracasei ATCC 334	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0
Rhodococcus jostii RHA1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0
Synechococcus sp. CC9311	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Shewanella sp. MR-7	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1
Shewanella frigidimarina NCIMB 400	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1
Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Maricaulis maris MCS10	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0
Nitrosomonas eutropha C91	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1
Alkalilimnicola ehrlichii MLHE-1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	1
Aeromonas hydrophila subsp. hydrophila ATCC 7966	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1
Rhodopseudomonas palustris BisA53	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1
Magnetococcus marinus MC-1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1
Shewanella piezotolerans WP3	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1
Candidatus Solibacter usitatus Ellin6076	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
Paenarthrobacter aurescens TC1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0
Syntrophobacter fumaroxidans MPOB	1	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1
Mycobacterium smegmatis str. MC2 155	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0
Acidothermus cellulolyticus 11B	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Pelobacter propionicus DSM 2379	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Campylobacter fetus subsp. fetus 82-40	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Chlorobium phaeobacteroides DSM 266	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1
Hyperthermus butylicus DSM 5456	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1
Bradyrhizobium sp. BTAi1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1
Shewanella sp. W3-18-1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1
Pyrobaculum islandicum DSM 4184	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0
Thermofilum pendens Hrk 5	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Shewanella amazonensis SB2B	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1
Nocardioides sp. JS614	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Psychromonas ingrahamii 37	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0
Mycobacterium vanbaalenii PYR-1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0
Acidovorax citrulli AAC00-1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0
Dichelobacter nodosus VCS1703A	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0
Marinobacter hydrocarbonoclasticus VT8	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	1
Lactobacillus helveticus DPC 4571	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Bartonella bacilliformis KC583	0	0	1	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Desulfovibrio vulgaris DP4	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1
